,ClubID,IndvID,Country,PostCode,Gender,Age,BirthYear,BirthMonth,ActivityStatus,ResidentialStatus,OwnershipStatus,LiveAlone,Ethnicity,Education,Religion,PersonalChallenges,MaritalStat,ChildNum,ChildCoResNum_1,ChildCoResNum_2,ChildCoResNum_3,ChildCoResNum_4,ChildCoResNum_5,SibsNum,HasOthFamily,HasFriends,ContactInPerson_Child,ContactPhone_Child,ContactEmail_Child,ContactText_Child,ContactVideo_Child,ContactSocMedia_Child,ChangeContact_Child,ChangeInPerson_Child,ContactInPerson_Sibs,ContactPhone_Sibs,ContactEmail_Sibs,ContactText_Sibs,ContactVideo_Sibs,ContactSocMedia_Sibs,ChangeContact_Sibs,ChangeInPerson_Sibs,ContactInPerson_OthFamily,ContactPhone_OthFamily,ContactEmail_OthFamily,ContactText_OthFamily,ContactVideo_OthFamily,ContactSocMedia_OthFamily,ChangeContact_OthFamily,ChangeInPerson_OthFamily,ContactInPerson_Friends,ContactPhone_Friends,ContactEmail_Friends,ContactText_Friends,ContactVideo_Friends,ContactSocMedia_Friends,ChangeContact_Friends,ChangeInPerson_Friends,Lonely,ChangeLonely,HowConcerned,Isolating,ChangeIsolating,DaysExercise,ChangeExercise,DaysAlcohol,ChangeAlcohol,DifficultySleep,ChangeSleep,Disability,LimitActivities,PhysicalHealth,ChangePhysical,MentalHealth,ChangeMental,RotaryMember,RotaryInvolvement,RotaryChange,RotaryChallenges,CovidAct,OthAct,ImpactOnMeetings,ImpactOnPartnerships,ImpactOnFinances,ImpactOnMembership,OthImpact,RotaryResponse,Contrib_Charitable,Contrib_Religious,Contrib_Other,ContribChange_Charitable,ContribChange_Religious,ContribToCovid,Latitude,Longitude
22,101036,7,Scotland,,Male,75 or more years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,Sixth year studies or equivalent,No religion/Atheist/Agnostic,,Married,1,No,,,,,0,Yes,Yes,No,Yes,No,No,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,No,Yes,No,No,No,No,Remained about the same,Remained about the same,Yes,No,No,No,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,Very concerned,All of the time,Remained about the same,0.0,Increased,3.0,Remained about the same,Mild,Remained about the same,No,,Very good,About the same,Good,About the same,Yes,Yes,Decreased,,,,"Yes, positively impacted","Yes, mixed impact","Yes, mixed impact",No impact,,,Financial contribution,,Financial contribution,Increased,,In part,53.8096008300781,-1.44259643554687
23,101036,8,Scotland,,Male,55-64 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",British,Postgraduate/higher degree,Protestant,,Living with a partner as if married,2,,None,,,,0,,Yes,Yes,Yes,No,Yes,No,No,Remained about the same,Decreased,No,No,No,No,No,No,,,No,No,No,No,No,No,,,Yes,Yes,No,Yes,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,Very concerned,Some of the time,Remained about the same,5.0,Increased,3.0,Remained about the same,Mild,Remained about the same,No,,Very good,About the same,Very good,About the same,Yes,Yes,Remained about the same,,,,"Yes, negatively impacted","Yes, positively impacted","Yes, negatively impacted",No impact,,,Both,Both,Both,Increased,Increased,Yes,56.1174011230468,-3.53450012207031
24,101038,1,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",English,First degree,Protestant,,Married,2,,None,,,,0,Yes,Yes,No,No,Yes,Yes,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,No,No,No,No,No,No,Remained about the same,Remained about the same,Yes,No,No,No,No,No,Remained about the same,Remained about the same,Hardly ever or never,Remained about the same,Moderately concerned,None of the time,Remained about the same,7.0,Increased,7.0,Remained about the same,None,Remained about the same,Yes,No,Very good,Better,Excellent,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",No impact,,,Financial contribution,No contribution,Contribution of time,Remained about the same,,In part,53.788101196289,-1.60079956054687
25,101039,2,Scotland,,Female,18-54 years,,,Employed,A private or family household,Still being bought,,English,First degree,Protestant,,Married,None,,,,,,0,Yes,Yes,No,No,No,No,No,No,,,No,No,No,No,No,No,,,Yes,Yes,No,Yes,Yes,Yes,Increased,Increased,Yes,Yes,No,Yes,No,Yes,Decreased,Decreased,Hardly ever or never,Decreased,Moderately concerned,Some of the time,Decreased,3.0,Decreased,4.0,Remained about the same,Moderate,Worsened,Yes,Yes,Fair,Worse,Good,About the same,Yes,Yes,Increased,,,,"Yes, mixed impact","Yes, mixed impact","Yes, mixed impact","Yes, mixed impact",,,Contribution of time,,,Increased,,In part,57.1385955810546,-2.17610168457031
26,101044,1,Scotland,,Male,75 or more years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",British,First degree,Protestant,,Widowed,2,,1,,,,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,No,Yes,Yes,No,No,No,Remained about the same,Remained about the same,No,Yes,No,No,No,No,Decreased,Decreased,Hardly ever or never,Remained about the same,Moderately concerned,Most of the time,Remained about the same,5.0,Remained about the same,4.0,Remained about the same,Moderate,Remained about the same,Yes,,Excellent,About the same,Fair,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",,,,,,Both,,,In part,57.8090057373046,-4.05760192871093
27,101044,2,Scotland,,Male,65-74 years,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,,,A little concerned,,,,,,,,,,,,,,,Yes,Yes,Remained about the same,,,,,,,,,,Contribution of time,Contribution of time,Contribution of time,Remained about the same,Remained about the same,In part,,
28,101044,3,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,First degree,Protestant,,Married,3,,,None,,,1,Yes,Yes,Yes,Yes,No,No,Yes,No,Decreased,Decreased,No,No,No,No,No,No,Remained about the same,Remained about the same,Yes,No,No,No,No,No,Remained about the same,Decreased,Yes,No,Yes,No,No,Yes,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Very concerned,Some of the time,Decreased,7.0,Remained about the same,3.0,Remained about the same,Mild,Remained about the same,No,,Good,About the same,Very good,About the same,Yes,Yes,Remained about the same,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",,,Both,Contribution of time,,Increased,Remained about the same,Yes,57.656997680664,-2.0447998046875
29,101044,4,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,Yes,Scottish,Postgraduate/higher degree,Protestant,,Divorced,1,No,,,,,2,No,Yes,No,No,No,Yes,No,Yes,Remained about the same,Remained about the same,No,No,No,No,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,,,No,Yes,Yes,Yes,Yes,Yes,Remained about the same,Remained about the same,Some of the time,Increased,Very concerned,All of the time,Remained about the same,0.0,Remained about the same,7.0,Remained about the same,Moderate,Worsened,Yes,Yes,Good,About the same,Good,About the same,Yes,Yes,Increased,,,,"Yes, negatively impacted","Yes, mixed impact","Yes, negatively impacted","Yes, negatively impacted",,,Financial contribution,Both,Both,Increased,Decreased,In part,57.1452941894531,-2.09449768066406
30,101051,1,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,"No, I live with at least one other person",Scottish,Postgraduate/higher degree,No religion/Atheist/Agnostic,,Married,2,,None,,,,2,Yes,Yes,No,No,No,Yes,Yes,No,Remained about the same,Remained about the same,No,No,No,No,No,No,Remained about the same,Remained about the same,No,No,Yes,No,Yes,No,Remained about the same,Remained about the same,Yes,Yes,No,No,No,No,Remained about the same,Decreased,Hardly ever or never,Remained about the same,Moderately concerned,Most of the time,Decreased,6.0,Increased,2.0,Remained about the same,Severe,Remained about the same,No,,Good,About the same,Excellent,About the same,Yes,Yes,Decreased,,,,"Yes, negatively impacted","Yes, mixed impact","Yes, mixed impact","Yes, negatively impacted",,,Both,,,Remained about the same,,No,57.477798461914,-4.22810363769531
31,101051,2,Scotland,,Male,65-74 years,,,Retired,A private or family household,Still being bought,"No, I live with at least one other person",Scottish,Postgraduate/higher degree,No religion/Atheist/Agnostic,,Married,1,No,,,,,2,Yes,Yes,No,Yes,No,Yes,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,Remained about the same,Remained about the same,No,No,No,No,No,No,Remained about the same,Remained about the same,No,No,No,No,Yes,No,Remained about the same,Remained about the same,Hardly ever or never,Remained about the same,Extremely concerned,Most of the time,Remained about the same,7.0,Remained about the same,0.0,Remained about the same,Moderate,Remained about the same,Yes,Yes,Good,About the same,Excellent,About the same,Yes,Yes,Remained about the same,,,,"Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted","Yes, negatively impacted",,,Both,No contribution,No contribution,Remained about the same,,Yes,57.1385955810546,-2.17610168457031
32,101051,3,Scotland,,Male,65-74 years,,,Retired,A private or family household,Privately rented,Yes,Scottish,First degree,No religion/Atheist/Agnostic,,Divorced,4,,,,None,,3,Yes,Yes,Yes,No,No,No,Yes,No,Increased,Remained about the same,No,No,Yes,No,No,No,Increased,Remained about the same,No,No,No,No,Yes,No,Increased,Remained about the same,Yes,No,Yes,No,No,No,Remained about the same,Decreased,,,Moderately concerned,Most of the time,Remained about the same,5.0,Increased,7.0,Remained about the same,Moderate,Remained about the same,No,,Good,About the same,Good,About the same,Yes,Yes,Decreased,,,,"Yes, positively impacted","Yes, positively impacted",No impact,No impact,,,Contribution of time,,Financial contribution,Increased,,Yes,57.477798461914,-4.22810363769531
33,101051,4,Scotland,,Male,65-74 years,,,Retired,A private or family household,Owned outright,Yes,Scottish,HNC/HND or equivalent,Protestant,,Widowed,None,,,,,,1,No,Yes,No,No,No,No,No,No,,,No,No,No,No,No,No,,,No,No,No,No,No,No,,,Yes,Yes,Yes,Yes,No,Yes,Increased,Increased,Some of the time,Increased,Moderately concerned,Most of the time,Increased,7.0,Decreased,6.0,Remained about the same,Severe,Worsened,No,,Fair,Worse,Fair,Worse,Yes,Yes,Remained about the same,,,,"Yes, mixed impact","Yes, negatively impacted",No impact,"Yes, negatively impacted",,,Financial contribution,Both,Both,Remained about the same,Remained about the same,No,57.477798461914,-4.22810363769531
